id,depart,arrival,duration,routeLength,waitingTime
mainFlow.0,0.0,42.6,42.6,1494.9,0.0
rampFlow.0,0.0,45.4,45.4,1146.27,0.0
mainFlow.1,1.4,46.0,44.6,1494.9,0.0
mainFlow.2,2.8,47.2,44.4,1494.9,0.0
mainFlow.3,4.0,47.8,43.8,1494.9,0.0
mainFlow.5,6.8,50.0,43.2,1494.9,0.0
rampFlow.1,12.0,55.0,43.0,1146.27,0.0
mainFlow.7,9.4,57.6,48.2,1494.9,0.0
mainFlow.9,12.0,58.8,46.8,1494.9,0.0
mainFlow.11,14.8,60.0,45.2,1494.9,0.0
mainFlow.10,13.4,61.2,47.8,1494.9,0.0
mainFlow.4,5.4,61.4,56.0,1494.9,0.0
mainFlow.12,16.0,62.4,46.4,1494.9,0.0
mainFlow.6,8.0,62.6,54.6,1494.9,0.0
mainFlow.8,10.8,63.8,53.0,1494.9,0.0
mainFlow.13,17.4,66.2,48.8,1494.9,0.0
mainFlow.15,20.0,68.0,48.0,1494.9,0.0
mainFlow.17,22.8,69.2,46.4,1494.9,0.0
rampFlow.2,24.0,69.2,45.2,1146.27,0.0
mainFlow.18,24.0,70.4,46.4,1494.9,0.0
mainFlow.19,25.4,71.8,46.4,1494.9,0.0
mainFlow.14,18.8,72.2,53.4,1494.9,0.0
mainFlow.16,21.4,73.0,51.6,1494.9,0.0
mainFlow.20,26.8,77.6,50.8,1494.9,0.0
mainFlow.23,30.8,80.0,49.2,1494.9,0.0
mainFlow.25,33.4,81.2,47.8,1494.9,0.0
rampFlow.3,36.0,81.2,45.2,1146.27,0.0
mainFlow.27,36.0,82.4,46.4,1494.9,0.0
mainFlow.29,38.8,83.6,44.8,1494.9,0.0
mainFlow.21,28.0,84.6,56.6,1494.9,0.0
mainFlow.28,37.4,84.8,47.4,1494.9,0.0
mainFlow.22,29.4,85.8,56.4,1494.9,0.0
mainFlow.31,41.4,86.2,44.8,1494.9,0.0
mainFlow.24,32.0,87.0,55.0,1494.9,0.0
mainFlow.33,44.0,87.4,43.4,1494.9,0.0
mainFlow.26,34.8,88.2,53.4,1494.9,0.0
mainFlow.34,45.4,88.6,43.2,1494.9,0.0
mainFlow.30,40.0,89.4,49.4,1494.9,0.0
mainFlow.32,42.8,90.0,47.2,1494.9,0.0
rampFlow.4,48.0,93.2,45.2,1146.27,0.0
