id,depart,arrival,duration,routeLength,waitingTime
mainFlow.0,0.0,42.6,42.6,1494.9,0.0
rampFlow.0,0.0,45.4,45.4,1146.27,0.0
rampFlow.1,2.6,46.8,44.2,1146.27,0.0
mainFlow.1,2.6,47.2,44.6,1494.9,0.0
mainFlow.2,5.2,49.0,43.8,1494.9,0.0
mainFlow.3,7.8,51.0,43.2,1494.9,0.0
mainFlow.5,13.0,54.4,41.4,1494.9,0.0
rampFlow.2,5.2,56.0,50.8,1146.27,0.0
rampFlow.3,7.8,57.4,49.6,1146.27,0.0
mainFlow.4,10.4,59.8,49.4,1494.9,0.0
rampFlow.4,10.4,61.0,50.6,1146.27,0.0
mainFlow.6,15.6,61.0,45.4,1494.9,0.0
rampFlow.5,13.0,62.2,49.2,1146.27,0.0
rampFlow.6,15.6,62.2,46.6,1146.27,0.0
mainFlow.7,18.0,63.6,45.6,1494.9,0.0
rampFlow.7,18.0,66.0,48.0,1146.27,0.0
rampFlow.9,23.2,66.2,43.0,1146.27,0.0
rampFlow.8,20.6,68.6,48.0,1146.27,0.0
mainFlow.9,23.2,71.4,48.2,1494.9,0.0
mainFlow.10,25.8,72.6,46.8,1494.9,0.0
mainFlow.8,20.6,73.2,52.6,1494.9,0.0
rampFlow.10,25.8,74.6,48.8,1146.27,0.0
mainFlow.11,28.4,74.6,46.2,1494.9,0.0
rampFlow.11,28.4,77.4,49.0,1146.27,0.0
rampFlow.12,31.0,81.0,50.0,1146.27,0.0
rampFlow.13,33.6,82.4,48.8,1146.27,0.0
mainFlow.13,33.6,82.8,49.2,1494.9,0.0
mainFlow.14,36.0,84.0,48.0,1494.9,0.0
rampFlow.14,36.0,84.6,48.6,1146.27,0.0
mainFlow.15,38.6,85.2,46.6,1494.9,0.0
mainFlow.16,41.2,86.6,45.4,1494.9,0.0
rampFlow.16,41.2,87.8,46.6,1146.27,0.0
mainFlow.12,31.0,88.4,57.4,1494.9,0.0
mainFlow.17,43.8,89.2,45.4,1494.9,0.0
rampFlow.15,38.6,89.6,51.0,1146.27,0.0
mainFlow.19,49.0,90.6,41.6,1494.9,0.0
rampFlow.17,43.8,91.0,47.2,1146.27,0.0
rampFlow.18,46.4,91.6,45.2,1146.27,0.0
mainFlow.18,46.4,94.6,48.2,1494.9,0.0
mainFlow.21,54.0,96.0,42.0,1494.9,0.0
