begin,end,edge,speed,density,entered,left
0.0,900.0,main_0,32.58,7.4,0,217
0.0,900.0,main_1a,25.42,23.64,534,534
0.0,900.0,main_1b,31.16,19.14,534,0
0.0,900.0,ramp_0,6.91,50.95,0,317
