id,depart,arrival,duration,routeLength,waitingTime
mainFlow.0,0.0,42.6,42.6,1494.9,0.0
rampFlow.0,0.0,45.4,45.4,1146.27,0.0
mainFlow.1,1.2,45.8,44.6,1494.9,0.0
rampFlow.1,2.6,46.8,44.2,1146.27,0.0
mainFlow.2,2.2,47.0,44.8,1494.9,0.0
rampFlow.2,5.2,52.2,47.0,1146.27,0.0
rampFlow.3,7.8,53.6,45.8,1146.27,0.0
mainFlow.5,5.2,56.2,51.0,1494.9,0.0
mainFlow.7,7.4,57.6,50.2,1494.9,0.0
mainFlow.3,3.2,58.8,55.6,1494.9,0.0
mainFlow.9,9.4,58.8,49.4,1494.9,0.0
mainFlow.4,4.2,60.0,55.8,1494.9,0.0
mainFlow.10,10.4,60.0,49.6,1494.9,0.0
rampFlow.4,10.4,61.2,50.8,1146.27,0.0
mainFlow.6,6.2,62.6,56.4,1494.9,0.0
mainFlow.11,11.4,62.8,51.4,1494.9,0.0
rampFlow.5,13.0,63.8,50.8,1146.27,0.0
mainFlow.13,13.4,64.0,50.6,1494.9,0.0
mainFlow.8,8.4,65.0,56.6,1494.9,0.0
mainFlow.15,15.6,65.2,49.6,1494.9,0.0
rampFlow.6,15.6,66.2,50.6,1146.27,0.0
mainFlow.14,14.6,66.4,51.8,1494.9,0.0
mainFlow.12,12.4,67.4,55.0,1494.9,0.0
mainFlow.16,16.6,67.8,51.2,1494.9,0.0
rampFlow.7,18.0,68.8,50.8,1146.27,0.0
rampFlow.8,20.6,69.2,48.6,1146.27,0.0
mainFlow.19,19.6,70.4,50.8,1494.9,0.0
mainFlow.21,21.8,71.6,49.8,1494.9,0.0
mainFlow.17,17.6,72.2,54.6,1494.9,0.0
mainFlow.23,23.8,72.8,49.0,1494.9,0.0
rampFlow.9,23.2,73.6,50.4,1146.27,0.0
mainFlow.25,25.8,74.0,48.2,1494.9,0.0
mainFlow.18,18.6,74.8,56.2,1494.9,0.0
mainFlow.27,27.8,75.2,47.4,1494.9,0.0
rampFlow.10,25.8,76.0,50.2,1146.27,0.0
mainFlow.20,20.6,77.2,56.6,1494.9,0.0
mainFlow.29,30.0,77.2,47.2,1494.9,0.0
rampFlow.11,28.4,78.4,50.0,1146.27,0.0
mainFlow.31,32.0,78.4,46.4,1494.9,0.0
mainFlow.22,22.8,79.6,56.8,1494.9,0.0
