begin,end,edge,speed,density,entered,left
0.0,900.0,main_0,28.2,21.03,0,534
0.0,900.0,main_1a,23.41,38.5,801,801
0.0,900.0,main_1b,29.09,30.75,801,0
0.0,900.0,ramp_0,11.82,25.08,0,267
