id,depart,arrival,duration,routeLength,waitingTime
mainFlow.0,0.0,42.6,42.6,1494.9,0.0
rampFlow.0,0.0,45.4,45.4,1146.27,0.0
mainFlow.1,1.2,45.8,44.6,1494.9,0.0
mainFlow.2,2.2,46.8,44.6,1494.9,0.0
mainFlow.3,3.4,47.2,43.8,1494.9,0.0
mainFlow.5,5.6,48.8,43.2,1494.9,0.0
rampFlow.1,6.0,54.0,48.0,1146.27,0.0
mainFlow.6,6.6,55.0,48.4,1494.9,0.0
mainFlow.9,10.0,56.2,46.2,1494.9,0.0
mainFlow.11,12.2,58.0,45.8,1494.9,0.0
mainFlow.4,4.4,58.8,54.4,1494.9,0.0
mainFlow.10,11.0,59.2,48.2,1494.9,0.0
rampFlow.2,12.0,59.8,47.8,1146.27,0.0
mainFlow.7,7.8,61.2,53.4,1494.9,0.0
mainFlow.12,13.2,62.2,49.0,1494.9,0.0
mainFlow.8,8.8,62.6,53.8,1494.9,0.0
rampFlow.3,18.0,63.4,45.4,1146.27,0.0
mainFlow.15,16.4,65.2,48.8,1494.9,0.0
mainFlow.13,14.2,65.6,51.4,1494.9,0.0
mainFlow.17,18.6,66.6,48.0,1494.9,0.0
mainFlow.14,15.4,66.8,51.4,1494.9,0.0
mainFlow.18,19.8,67.8,48.0,1494.9,0.0
mainFlow.16,17.6,68.4,50.8,1494.9,0.0
rampFlow.4,24.0,70.8,46.8,1146.27,0.0
mainFlow.19,20.8,71.6,50.8,1494.9,0.0
mainFlow.21,23.0,74.8,51.8,1494.9,0.0
mainFlow.23,25.2,75.2,50.0,1494.9,0.0
rampFlow.5,30.0,76.2,46.2,1146.27,0.0
mainFlow.25,27.4,76.4,49.0,1494.9,0.0
mainFlow.27,29.6,77.8,48.2,1494.9,0.0
mainFlow.20,22.0,78.8,56.8,1494.9,0.0
mainFlow.29,31.8,79.0,47.2,1494.9,0.0
mainFlow.22,24.2,80.0,55.8,1494.9,0.0
mainFlow.31,34.0,80.2,46.2,1494.9,0.0
mainFlow.24,26.2,81.2,55.0,1494.9,0.0
mainFlow.32,35.0,81.4,46.4,1494.9,0.0
mainFlow.26,28.4,82.4,54.0,1494.9,0.0
mainFlow.33,36.2,82.6,46.4,1494.9,0.0
mainFlow.28,30.6,83.6,53.0,1494.9,0.0
mainFlow.35,38.2,83.8,45.6,1494.9,0.0
