id,depart,arrival,duration,routeLength,waitingTime
mainFlow.0,0.0,42.6,42.6,1494.9,0.0
rampFlow.0,0.0,45.4,45.4,1146.27,0.0
mainFlow.1,1.4,46.0,44.6,1494.9,0.0
mainFlow.2,2.8,47.2,44.4,1494.9,0.0
rampFlow.1,3.4,47.2,43.8,1146.27,0.0
rampFlow.2,6.6,55.2,48.6,1146.27,0.0
mainFlow.5,7.0,55.2,48.2,1494.9,0.0
mainFlow.7,9.8,56.4,46.6,1494.9,0.0
rampFlow.3,10.0,56.6,46.6,1146.27,0.0
mainFlow.9,12.6,57.6,45.0,1494.9,0.0
mainFlow.8,11.2,58.8,47.6,1494.9,0.0
mainFlow.4,5.6,60.0,54.4,1494.9,0.0
mainFlow.3,4.2,60.4,56.2,1494.9,0.0
rampFlow.4,13.2,61.8,48.6,1146.27,0.0
mainFlow.6,8.4,62.8,54.4,1494.9,0.0
mainFlow.10,14.0,64.2,50.2,1494.9,0.0
rampFlow.5,16.4,64.8,48.4,1146.27,0.0
mainFlow.13,18.2,65.4,47.2,1494.9,0.0
mainFlow.12,16.8,66.6,49.8,1494.9,0.0
rampFlow.6,19.8,66.6,46.8,1146.27,0.0
mainFlow.15,20.8,68.0,47.2,1494.9,0.0
mainFlow.11,15.4,68.6,53.2,1494.9,0.0
mainFlow.14,19.4,69.0,49.6,1494.9,0.0
mainFlow.16,22.2,73.0,50.8,1494.9,0.0
rampFlow.7,23.0,74.0,51.0,1146.27,0.0
mainFlow.19,26.4,74.2,47.8,1494.9,0.0
rampFlow.8,26.2,75.2,49.0,1146.27,0.0
mainFlow.21,29.2,75.4,46.2,1494.9,0.0
rampFlow.9,29.6,76.4,46.8,1146.27,0.0
mainFlow.23,32.0,76.6,44.6,1494.9,0.0
mainFlow.22,30.6,77.8,47.2,1494.9,0.0
mainFlow.17,23.6,78.2,54.6,1494.9,0.0
mainFlow.24,33.4,79.0,45.6,1494.9,0.0
mainFlow.18,25.0,79.6,54.6,1494.9,0.0
mainFlow.20,27.8,80.6,52.8,1494.9,0.0
rampFlow.10,32.8,80.8,48.0,1146.27,0.0
mainFlow.25,34.8,81.8,47.0,1494.9,0.0
rampFlow.11,36.2,82.4,46.2,1146.27,0.0
mainFlow.26,36.2,83.0,46.8,1494.9,0.0
mainFlow.29,40.2,84.8,44.6,1494.9,0.0
