id,depart,arrival,duration,routeLength,waitingTime
mainFlow.0,0.0,42.6,42.6,1494.9,0.0
mainFlow.1,2.4,44.0,41.6,1494.9,0.0
rampFlow.0,0.0,45.4,45.4,1146.27,0.0
rampFlow.1,2.0,46.8,44.8,1146.27,0.0
rampFlow.2,3.8,49.0,45.2,1146.27,0.0
rampFlow.3,5.8,50.8,45.0,1146.27,0.0
rampFlow.4,7.6,55.8,48.2,1146.27,0.0
mainFlow.3,6.8,57.8,51.0,1494.9,0.0
mainFlow.5,11.4,59.0,47.6,1494.9,0.0
mainFlow.2,4.6,60.2,55.6,1494.9,0.0
rampFlow.5,9.6,61.4,51.8,1146.27,0.0
mainFlow.4,9.0,61.6,52.6,1494.9,0.0
rampFlow.6,11.4,62.8,51.4,1146.27,0.0
mainFlow.6,13.6,63.0,49.4,1494.9,0.0
rampFlow.7,13.4,64.0,50.6,1146.27,0.0
rampFlow.8,15.2,65.4,50.2,1146.27,0.0
mainFlow.8,18.0,67.0,49.0,1494.9,0.0
mainFlow.7,15.8,67.2,51.4,1494.9,0.0
mainFlow.9,20.4,68.2,47.8,1494.9,0.0
rampFlow.9,17.2,68.4,51.2,1146.27,0.0
mainFlow.10,22.6,69.6,47.0,1494.9,0.0
rampFlow.10,19.0,70.0,51.0,1146.27,0.0
rampFlow.11,21.0,70.8,49.8,1146.27,0.0
rampFlow.12,22.8,75.0,52.2,1146.27,0.0
mainFlow.12,27.0,75.2,48.2,1494.9,0.0
mainFlow.14,31.6,76.4,44.8,1494.9,0.0
mainFlow.15,33.8,77.6,43.8,1494.9,0.0
rampFlow.13,24.8,78.0,53.2,1146.27,0.0
rampFlow.14,26.6,79.8,53.2,1146.27,0.0
mainFlow.11,24.8,80.8,56.0,1494.9,0.0
mainFlow.16,36.0,81.0,45.0,1494.9,0.0
rampFlow.15,28.6,82.2,53.6,1146.27,0.0
mainFlow.17,38.4,82.2,43.8,1494.9,0.0
mainFlow.13,29.4,83.4,54.0,1494.9,0.0
rampFlow.17,32.4,83.4,51.0,1146.27,0.0
rampFlow.16,30.4,84.6,54.2,1146.27,0.0
mainFlow.18,40.6,84.8,44.2,1494.9,0.0
rampFlow.18,34.2,86.0,51.8,1146.27,0.0
mainFlow.19,42.8,86.0,43.2,1494.9,0.0
rampFlow.19,36.2,87.6,51.4,1146.27,0.0
mainFlow.20,45.0,88.2,43.2,1494.9,0.0
rampFlow.20,38.0,88.8,50.8,1146.27,0.0
mainFlow.21,47.4,92.8,45.4,1494.9,0.0
rampFlow.21,39.8,94.0,54.2,1146.27,0.0
mainFlow.23,51.8,94.2,42.4,1494.9,0.0
rampFlow.22,41.8,95.2,53.4,1146.27,0.0
mainFlow.24,54.0,96.2,42.2,1494.9,0.0
rampFlow.23,43.6,96.4,52.8,1146.27,0.0
rampFlow.24,45.6,97.6,52.0,1146.27,0.0
mainFlow.25,56.4,101.8,45.4,1494.9,0.0
rampFlow.25,47.4,102.4,55.0,1146.27,0.0
mainFlow.26,58.6,103.0,44.4,1494.9,0.0
mainFlow.22,49.6,105.0,55.4,1494.9,0.0
rampFlow.26,49.4,105.6,56.2,1146.27,0.0
mainFlow.27,60.8,107.4,46.6,1494.9,0.0
rampFlow.27,51.2,108.2,57.0,1146.27,0.0
mainFlow.28,63.0,108.6,45.6,1494.9,0.0
rampFlow.28,53.2,109.6,56.4,1146.27,0.0
rampFlow.29,55.0,109.8,54.8,1146.27,0.0
rampFlow.30,57.0,113.0,56.0,1146.27,0.0
mainFlow.29,65.4,113.6,48.2,1494.9,0.0
rampFlow.31,58.8,114.4,55.6,1146.27,0.0
mainFlow.31,69.8,114.8,45.0,1494.9,0.0
rampFlow.32,60.8,116.0,55.2,1146.27,0.0
mainFlow.30,67.6,118.4,50.8,1494.9,0.0
rampFlow.33,62.6,119.6,57.0,1146.27,0.0
mainFlow.33,74.4,119.6,45.2,1494.9,0.0
rampFlow.34,64.6,120.8,56.2,1146.27,0.0
mainFlow.32,72.0,121.6,49.6,1494.9,0.0
rampFlow.35,66.4,124.0,57.6,1146.27,0.0
mainFlow.35,78.8,124.8,46.0,1494.9,0.0
rampFlow.36,68.4,125.4,57.0,1146.27,0.0
mainFlow.36,81.0,126.0,45.0,1494.9,0.0
rampFlow.37,70.2,126.6,56.4,1146.27,0.0
mainFlow.34,76.6,127.2,50.6,1494.9,0.0
rampFlow.38,72.2,128.2,56.0,1146.27,0.0
mainFlow.37,83.4,128.6,45.2,1494.9,0.0
mainFlow.38,85.6,129.8,44.2,1494.9,0.0
rampFlow.39,74.0,130.8,56.8,1146.27,0.0
mainFlow.39,87.8,132.8,45.0,1494.9,0.0
rampFlow.40,75.8,133.0,57.2,1146.27,0.0
rampFlow.41,77.8,134.2,56.4,1146.27,0.0
rampFlow.42,79.6,135.6,56.0,1146.27,0.0
mainFlow.41,92.4,136.8,44.4,1494.9,0.0
rampFlow.43,81.6,137.0,55.4,1146.27,0.0
mainFlow.40,90.0,138.2,48.2,1494.9,0.0
mainFlow.43,96.8,138.2,41.4,1494.9,0.0
rampFlow.44,83.4,139.6,56.2,1146.27,0.0
rampFlow.45,85.4,142.6,57.2,1146.27,0.0
mainFlow.45,101.4,142.6,41.2,1494.9,0.0
rampFlow.46,87.2,143.8,56.6,1146.27,0.0
rampFlow.47,89.2,145.2,56.0,1146.27,0.0
mainFlow.44,99.0,149.2,50.2,1494.9,0.0
mainFlow.46,103.6,150.8,47.2,1494.9,0.0
mainFlow.42,94.6,151.4,56.8,1494.9,0.0
rampFlow.48,91.0,151.8,60.8,1146.27,0.0
mainFlow.47,105.8,153.2,47.4,1494.9,0.0
rampFlow.49,93.0,153.4,60.4,1146.27,0.0
mainFlow.48,108.0,154.4,46.4,1494.9,0.0
rampFlow.50,94.8,154.8,60.0,1146.27,0.0
mainFlow.49,110.4,155.6,45.2,1494.9,0.0
rampFlow.51,96.8,156.0,59.2,1146.27,0.0
rampFlow.53,101.0,157.0,56.0,1146.27,0.0
rampFlow.52,98.8,157.2,58.4,1146.27,0.0
mainFlow.50,112.6,161.2,48.6,1494.9,0.0
rampFlow.54,103.0,162.0,59.0,1146.27,0.0
mainFlow.51,114.8,162.4,47.6,1494.9,0.0
mainFlow.52,117.0,163.6,46.6,1494.9,0.0
rampFlow.55,105.0,164.0,59.0,1146.27,0.0
mainFlow.53,119.4,164.8,45.4,1494.9,0.0
mainFlow.54,121.6,166.0,44.4,1494.9,0.0
mainFlow.55,123.8,167.2,43.4,1494.9,0.0
rampFlow.56,107.2,167.6,60.4,1146.27,0.0
rampFlow.58,111.2,168.6,57.4,1146.27,0.0
rampFlow.57,109.2,169.0,59.8,1146.27,0.0
mainFlow.56,126.0,170.2,44.2,1494.9,0.0
mainFlow.57,128.4,171.4,43.0,1494.9,0.0
rampFlow.59,113.4,172.0,58.6,1146.27,0.0
rampFlow.61,117.6,175.0,57.4,1146.27,0.0
rampFlow.60,115.4,177.2,61.8,1146.27,0.0
mainFlow.59,132.8,178.8,46.0,1494.9,0.0
rampFlow.62,119.6,179.4,59.8,1146.27,0.0
mainFlow.61,137.4,180.0,42.6,1494.9,0.0
rampFlow.63,121.6,180.8,59.2,1146.27,0.0
rampFlow.64,123.8,182.0,58.2,1146.27,0.0
mainFlow.60,135.0,183.0,48.0,1494.9,0.0
mainFlow.62,139.6,184.2,44.6,1494.9,0.0
rampFlow.65,125.8,185.6,59.8,1146.27,0.0
mainFlow.63,141.8,187.0,45.2,1494.9,0.0
mainFlow.58,130.6,187.8,57.2,1494.9,0.0
mainFlow.64,144.0,188.2,44.2,1494.9,0.0
rampFlow.66,128.0,189.0,61.0,1146.27,0.0
mainFlow.65,146.4,189.4,43.0,1494.9,0.0
rampFlow.67,130.0,190.2,60.2,1146.27,0.0
mainFlow.66,148.6,190.6,42.0,1494.9,0.0
rampFlow.68,132.0,191.4,59.4,1146.27,0.0
rampFlow.69,134.2,191.6,57.4,1146.27,0.0
rampFlow.70,136.2,193.4,57.2,1146.27,0.0
rampFlow.71,138.2,194.6,56.4,1146.27,0.0
mainFlow.67,150.8,195.8,45.0,1494.9,0.0
rampFlow.72,140.4,197.0,56.6,1146.27,0.0
mainFlow.68,153.0,197.0,44.0,1494.9,0.0
rampFlow.73,142.4,199.0,56.6,1146.27,0.0
mainFlow.69,155.4,200.4,45.0,1494.9,0.0
rampFlow.74,144.6,201.4,56.8,1146.27,0.0
mainFlow.70,157.6,201.6,44.0,1494.9,0.0
mainFlow.71,159.8,202.8,43.0,1494.9,0.0
rampFlow.76,148.8,204.0,55.2,1146.27,0.0
rampFlow.75,146.8,205.4,58.6,1146.27,0.0
rampFlow.77,151.0,210.0,59.0,1146.27,0.0
mainFlow.72,162.0,211.6,49.6,1494.9,0.0
mainFlow.74,166.6,214.6,48.0,1494.9,0.0
mainFlow.73,164.4,215.8,51.4,1494.9,0.0
mainFlow.75,168.8,216.0,47.2,1494.9,0.0
mainFlow.76,171.0,217.2,46.2,1494.9,0.0
rampFlow.81,159.2,219.0,59.8,1146.27,0.0
rampFlow.78,153.0,220.2,67.2,1146.27,0.0
rampFlow.79,155.2,221.4,66.2,1146.27,0.0
mainFlow.77,173.4,221.4,48.0,1494.9,0.0
rampFlow.80,157.2,222.6,65.4,1146.27,0.0
mainFlow.79,177.8,222.6,44.8,1494.9,0.0
rampFlow.82,161.4,223.8,62.4,1146.27,0.0
rampFlow.84,165.4,223.8,58.4,1146.27,0.0
rampFlow.83,163.4,225.0,61.6,1146.27,0.0
mainFlow.78,175.6,226.4,50.8,1494.9,0.0
rampFlow.85,167.4,227.6,60.2,1146.27,0.0
mainFlow.81,182.4,227.6,45.2,1494.9,0.0
rampFlow.86,169.4,228.8,59.4,1146.27,0.0
mainFlow.82,184.6,228.8,44.2,1494.9,0.0
rampFlow.87,171.6,230.0,58.4,1146.27,0.0
mainFlow.83,186.8,230.6,43.8,1494.9,0.0
rampFlow.88,173.6,231.8,58.2,1146.27,0.0
mainFlow.80,180.0,232.0,52.0,1494.9,0.0
mainFlow.85,191.4,233.2,41.8,1494.9,0.0
rampFlow.89,175.6,235.6,60.0,1146.27,0.0
rampFlow.90,177.8,236.8,59.0,1146.27,0.0
mainFlow.84,189.0,238.4,49.4,1494.9,0.0
rampFlow.91,179.8,239.0,59.2,1146.27,0.0
mainFlow.86,193.6,240.0,46.4,1494.9,0.0
rampFlow.92,182.0,240.8,58.8,1146.27,0.0
rampFlow.93,184.0,244.4,60.4,1146.27,0.0
mainFlow.87,195.8,244.4,48.6,1494.9,0.0
mainFlow.88,198.0,245.6,47.6,1494.9,0.0
rampFlow.94,186.2,245.8,59.6,1146.27,0.0
rampFlow.95,188.4,247.0,58.6,1146.27,0.0
rampFlow.96,190.4,248.2,57.8,1146.27,0.0
rampFlow.97,192.6,249.4,56.8,1146.27,0.0
mainFlow.89,200.4,254.0,53.6,1494.9,0.0
mainFlow.90,202.6,255.4,52.8,1494.9,0.0
mainFlow.92,207.0,255.6,48.6,1494.9,0.0
rampFlow.98,194.6,256.6,62.0,1146.27,0.0
mainFlow.93,209.4,256.6,47.2,1494.9,0.0
rampFlow.99,196.6,257.6,61.0,1146.27,0.0
mainFlow.94,211.6,258.0,46.4,1494.9,0.0
rampFlow.100,198.6,259.0,60.4,1146.27,0.0
mainFlow.96,216.0,259.2,43.2,1494.9,0.0
mainFlow.95,213.8,261.8,48.0,1494.9,0.0
mainFlow.91,204.8,262.0,57.2,1494.9,0.0
rampFlow.101,200.6,263.2,62.6,1146.27,0.0
mainFlow.98,220.6,263.2,42.6,1494.9,0.0
rampFlow.104,206.8,264.2,57.4,1146.27,0.0
rampFlow.102,202.8,264.4,61.6,1146.27,0.0
mainFlow.99,222.8,265.6,42.8,1494.9,0.0
rampFlow.103,204.8,265.8,61.0,1146.27,0.0
mainFlow.97,218.4,266.8,48.4,1494.9,0.0
rampFlow.105,209.0,267.2,58.2,1146.27,0.0
