id,depart,arrival,duration,routeLength,waitingTime
mainFlow.0,0.0,42.6,42.6,1494.9,0.0
rampFlow.0,0.0,45.4,45.4,1146.27,0.0
mainFlow.1,4.0,48.6,44.6,1494.9,0.0
mainFlow.2,8.0,50.0,42.0,1494.9,0.0
mainFlow.3,12.0,55.8,43.8,1494.9,0.0
rampFlow.1,18.0,60.2,42.2,1146.27,0.0
mainFlow.4,16.0,70.4,54.4,1494.9,0.0
mainFlow.5,20.0,71.0,51.0,1494.9,0.0
mainFlow.6,24.0,72.2,48.2,1494.9,0.0
mainFlow.8,32.0,73.8,41.8,1494.9,0.0
mainFlow.9,36.0,80.0,44.0,1494.9,0.0
mainFlow.7,28.0,80.6,52.6,1494.9,0.0
mainFlow.10,40.0,81.2,41.2,1494.9,0.0
rampFlow.2,36.0,81.8,45.8,1146.27,0.0
mainFlow.11,44.0,89.6,45.6,1494.9,0.0
mainFlow.12,48.0,96.8,48.8,1494.9,0.0
rampFlow.3,54.0,99.8,45.8,1146.27,0.0
mainFlow.13,52.0,103.4,51.4,1494.9,0.0
mainFlow.14,56.0,104.6,48.6,1494.9,0.0
mainFlow.15,60.0,104.8,44.8,1494.9,0.0
mainFlow.16,64.0,108.4,44.4,1494.9,0.0
mainFlow.17,68.0,112.6,44.6,1494.9,0.0
mainFlow.18,72.0,118.2,46.2,1494.9,0.0
rampFlow.4,72.0,119.8,47.8,1146.27,0.0
rampFlow.5,90.0,130.4,40.4,1146.27,0.0
mainFlow.19,76.0,130.6,54.6,1494.9,0.0
mainFlow.20,80.0,132.0,52.0,1494.9,0.0
mainFlow.21,84.0,133.4,49.4,1494.9,0.0
mainFlow.22,88.0,135.6,47.6,1494.9,0.0
mainFlow.24,96.0,137.2,41.2,1494.9,0.0
mainFlow.25,100.0,139.6,39.6,1494.9,0.0
mainFlow.23,92.0,140.4,48.4,1494.9,0.0
mainFlow.27,108.0,147.8,39.8,1494.9,0.0
mainFlow.26,104.0,148.8,44.8,1494.9,0.0
rampFlow.6,108.0,152.0,44.0,1146.27,0.0
mainFlow.28,112.0,156.2,44.2,1494.9,0.0
mainFlow.30,120.0,159.6,39.6,1494.9,0.0
mainFlow.29,116.0,162.4,46.4,1494.9,0.0
mainFlow.31,124.0,165.0,41.0,1494.9,0.0
mainFlow.32,128.0,171.8,43.8,1494.9,0.0
