id,depart,arrival,duration,routeLength,waitingTime
mainFlow.0,0.0,42.6,42.6,1494.9,0.0
rampFlow.0,0.0,45.4,45.4,1146.27,0.0
mainFlow.1,1.4,46.0,44.6,1494.9,0.0
rampFlow.1,2.2,46.8,44.6,1146.27,0.0
mainFlow.2,2.6,47.4,44.8,1494.9,0.0
rampFlow.2,4.4,48.8,44.4,1146.27,0.0
rampFlow.3,6.4,56.6,50.2,1146.27,0.0
mainFlow.5,6.4,57.4,51.0,1494.9,0.0
mainFlow.3,3.8,58.2,54.4,1494.9,0.0
mainFlow.7,8.8,58.6,49.8,1494.9,0.0
rampFlow.4,8.6,59.4,50.8,1146.27,0.0
mainFlow.8,10.0,59.8,49.8,1494.9,0.0
mainFlow.4,5.0,60.8,55.8,1494.9,0.0
mainFlow.9,11.2,61.4,50.2,1494.9,0.0
rampFlow.5,10.6,62.0,51.4,1146.27,0.0
mainFlow.11,13.8,62.6,48.8,1494.9,0.0
mainFlow.6,7.6,63.6,56.0,1494.9,0.0
mainFlow.13,16.2,63.8,47.6,1494.9,0.0
rampFlow.6,12.8,64.8,52.0,1146.27,0.0
mainFlow.12,15.0,65.0,50.0,1494.9,0.0
rampFlow.7,15.0,66.0,51.0,1146.27,0.0
mainFlow.10,12.6,67.4,54.8,1494.9,0.0
mainFlow.14,17.4,68.2,50.8,1494.9,0.0
rampFlow.8,17.0,69.2,52.2,1146.27,0.0
rampFlow.9,19.2,70.6,51.4,1146.27,0.0
mainFlow.17,21.2,70.8,49.6,1494.9,0.0
mainFlow.19,23.6,72.0,48.4,1494.9,0.0
mainFlow.21,26.2,73.2,47.0,1494.9,0.0
mainFlow.15,18.8,73.4,54.6,1494.9,0.0
mainFlow.23,28.6,74.4,45.8,1494.9,0.0
rampFlow.10,21.2,74.8,53.6,1146.27,0.0
mainFlow.25,31.2,75.8,44.6,1494.9,0.0
rampFlow.11,23.4,76.0,52.6,1146.27,0.0
rampFlow.12,25.6,77.2,51.6,1146.27,0.0
mainFlow.27,33.6,77.2,43.6,1494.9,0.0
mainFlow.16,20.0,78.4,58.4,1494.9,0.0
mainFlow.18,22.4,78.6,56.2,1494.9,0.0
rampFlow.13,27.6,79.8,52.2,1146.27,0.0
rampFlow.14,29.8,81.0,51.2,1146.27,0.0
mainFlow.20,25.0,82.0,57.0,1494.9,0.0
