id,depart,arrival,duration,routeLength,waitingTime
mainFlow.0,0.0,42.6,42.6,1494.9,0.0
rampFlow.0,0.0,45.4,45.4,1146.27,0.0
mainFlow.1,4.6,49.2,44.6,1494.9,0.0
rampFlow.1,7.2,50.0,42.8,1146.27,0.0
mainFlow.2,9.0,52.8,43.8,1494.9,0.0
rampFlow.2,14.4,57.0,42.6,1146.27,0.0
mainFlow.3,13.6,68.0,54.4,1494.9,0.0
mainFlow.4,18.0,69.0,51.0,1494.9,0.0
rampFlow.3,21.6,69.2,47.6,1146.27,0.0
mainFlow.6,27.0,70.4,43.4,1494.9,0.0
rampFlow.4,28.8,72.0,43.2,1146.27,0.0
mainFlow.5,22.6,76.8,54.2,1494.9,0.0
mainFlow.7,31.6,78.0,46.4,1494.9,0.0
mainFlow.8,36.0,79.4,43.4,1494.9,0.0
rampFlow.5,36.0,80.8,44.8,1146.27,0.0
mainFlow.9,40.6,89.4,48.8,1494.9,0.0
rampFlow.7,50.4,91.2,40.8,1146.27,0.0
rampFlow.6,43.2,91.4,48.2,1146.27,0.0
mainFlow.10,45.0,93.0,48.0,1494.9,0.0
mainFlow.11,49.6,97.8,48.2,1494.9,0.0
mainFlow.12,54.0,99.0,45.0,1494.9,0.0
rampFlow.8,57.6,101.4,43.8,1146.27,0.0
mainFlow.13,58.6,104.8,46.2,1494.9,0.0
mainFlow.14,63.0,113.8,50.8,1494.9,0.0
rampFlow.9,64.8,115.4,50.6,1146.27,0.0
mainFlow.15,67.6,119.4,51.8,1494.9,0.0
rampFlow.10,72.0,119.6,47.6,1146.27,0.0
mainFlow.17,76.6,120.8,44.2,1494.9,0.0
mainFlow.16,72.0,121.2,49.2,1494.9,0.0
mainFlow.18,81.0,122.2,41.2,1494.9,0.0
rampFlow.11,79.2,125.2,46.0,1146.27,0.0
mainFlow.19,85.6,125.2,39.6,1494.9,0.0
mainFlow.20,90.0,129.8,39.8,1494.9,0.0
rampFlow.12,86.4,130.0,43.6,1146.27,0.0
rampFlow.13,93.6,137.6,44.0,1146.27,0.0
mainFlow.21,94.6,138.8,44.2,1494.9,0.0
rampFlow.14,100.8,140.8,40.0,1146.27,0.0
mainFlow.22,99.0,145.4,46.4,1494.9,0.0
mainFlow.23,103.6,146.6,43.0,1494.9,0.0
rampFlow.15,108.0,151.2,43.2,1146.27,0.0
