begin,end,edge,speed,density,entered,left
0.0,900.0,main_0,31.72,14.01,0,400
0.0,900.0,main_1a,27.29,23.38,567,567
0.0,900.0,main_1b,30.6,20.7,567,0
0.0,900.0,ramp_0,16.31,11.37,0,167
