begin,end,edge,speed,density,entered,left
0.0,900.0,main_0,31.85,12.24,0,351
0.0,900.0,main_1a,25.61,29.35,668,668
0.0,900.0,main_1b,30.32,24.6,668,0
0.0,900.0,ramp_0,6.9,51.04,0,317
