begin,end,edge,speed,density,entered,left
0.0,900.0,main_0,31.41,15.95,0,451
0.0,900.0,main_1a,28.82,20.89,535,535
0.0,900.0,main_1b,30.67,19.48,535,0
0.0,900.0,ramp_0,17.8,5.24,0,84
