begin,end,edge,speed,density,entered,left
0.0,900.0,main_0,32.33,12.61,0,367
0.0,900.0,main_1a,30.32,15.47,417,417
0.0,900.0,main_1b,31.67,14.7,417,0
0.0,900.0,ramp_0,17.32,3.2,0,50
