id,depart,arrival,duration,routeLength,waitingTime
mainFlow.0,0.0,42.6,42.6,1494.9,0.0
rampFlow.0,0.0,45.4,45.4,1146.27,0.0
mainFlow.1,1.2,45.8,44.6,1494.9,0.0
rampFlow.1,2.4,46.8,44.4,1146.27,0.0
mainFlow.2,2.2,47.0,44.8,1494.9,0.0
rampFlow.2,4.6,53.4,48.8,1146.27,0.0
mainFlow.5,5.2,54.0,48.8,1494.9,0.0
rampFlow.3,6.8,54.8,48.0,1146.27,0.0
mainFlow.7,7.4,55.2,47.8,1494.9,0.0
mainFlow.9,9.4,56.4,47.0,1494.9,0.0
mainFlow.8,8.4,57.6,49.2,1494.9,0.0
mainFlow.3,3.2,58.6,55.4,1494.9,0.0
rampFlow.5,11.4,59.2,47.8,1146.27,0.0
rampFlow.4,9.0,60.0,51.0,1146.27,0.0
mainFlow.4,4.2,60.2,56.0,1494.9,0.0
mainFlow.6,6.2,62.4,56.2,1494.9,0.0
mainFlow.11,11.4,62.8,51.4,1494.9,0.0
rampFlow.6,13.6,63.6,50.0,1146.27,0.0
mainFlow.13,13.4,64.0,50.6,1494.9,0.0
mainFlow.10,10.4,64.8,54.4,1494.9,0.0
mainFlow.15,15.6,65.2,49.6,1494.9,0.0
rampFlow.7,15.8,66.2,50.4,1146.27,0.0
mainFlow.14,14.6,66.4,51.8,1494.9,0.0
mainFlow.12,12.4,67.6,55.2,1494.9,0.0
rampFlow.8,18.0,68.8,50.8,1146.27,0.0
mainFlow.17,17.6,69.4,51.8,1494.9,0.0
mainFlow.19,19.6,70.6,51.0,1494.9,0.0
rampFlow.9,20.4,70.6,50.2,1146.27,0.0
mainFlow.21,21.8,71.8,50.0,1494.9,0.0
mainFlow.23,23.8,73.0,49.2,1494.9,0.0
mainFlow.16,16.6,73.4,56.8,1494.9,0.0
mainFlow.25,25.8,74.2,48.4,1494.9,0.0
rampFlow.10,22.6,74.6,52.0,1146.27,0.0
mainFlow.27,27.8,75.4,47.6,1494.9,0.0
mainFlow.18,18.6,75.8,57.2,1494.9,0.0
mainFlow.29,30.0,76.4,46.4,1494.9,0.0
rampFlow.11,24.8,77.0,52.2,1146.27,0.0
mainFlow.31,32.0,77.8,45.8,1494.9,0.0
mainFlow.20,20.6,78.4,57.8,1494.9,0.0
mainFlow.30,31.0,79.0,48.0,1494.9,0.0
