begin,end,edge,speed,density,entered,left
0.0,900.0,main_0,31.37,16.54,0,467
0.0,900.0,main_1a,27.63,24.47,601,601
0.0,900.0,main_1b,30.38,22.09,601,0
0.0,900.0,ramp_0,16.89,8.81,0,134
