begin,end,edge,speed,density,entered,left
0.0,900.0,main_0,31.22,14.23,0,400
0.0,900.0,main_1a,25.95,27.49,634,634
0.0,900.0,main_1b,30.06,23.55,634,0
0.0,900.0,ramp_0,14.09,18.43,0,234
