begin,end,edge,speed,density,entered,left
0.0,900.0,main_0,31.1,16.68,0,467
0.0,900.0,main_1a,26.36,28.47,667,667
0.0,900.0,main_1b,29.96,24.86,667,0
0.0,900.0,ramp_0,15.27,14.54,0,200
