begin,end,edge,speed,density,entered,left
0.0,900.0,main_0,30.97,17.36,0,484
0.0,900.0,main_1a,26.4,28.47,668,668
0.0,900.0,main_1b,30.1,24.78,668,0
0.0,900.0,ramp_0,15.76,12.96,0,184
