begin,end,edge,speed,density,entered,left
0.0,900.0,main_0,30.28,19.59,0,534
0.0,900.0,main_1a,26.34,29.94,701,701
0.0,900.0,main_1b,29.73,26.33,701,0
0.0,900.0,ramp_0,16.41,11.3,0,167
