begin,end,edge,speed,density,entered,left
0.0,900.0,main_0,27.35,22.34,0,550
0.0,900.0,main_1a,22.01,42.63,834,834
0.0,900.0,main_1b,28.68,32.48,834,0
0.0,900.0,ramp_0,9.25,34.08,0,284
