id,depart,arrival,duration,routeLength,waitingTime
mainFlow.0,0.0,42.6,42.6,1494.9,0.0
rampFlow.0,0.0,45.4,45.4,1146.27,0.0
mainFlow.1,1.6,46.2,44.6,1494.9,0.0
rampFlow.1,2.6,46.8,44.2,1146.27,0.0
mainFlow.2,3.2,47.4,44.2,1494.9,0.0
rampFlow.2,5.2,49.2,44.0,1146.27,0.0
rampFlow.3,7.8,54.6,46.8,1146.27,0.0
mainFlow.4,6.4,57.8,51.4,1494.9,0.0
rampFlow.4,10.4,58.8,48.4,1146.27,0.0
mainFlow.5,8.0,60.6,52.6,1494.9,0.0
mainFlow.3,4.8,61.2,56.4,1494.9,0.0
mainFlow.7,11.0,62.0,51.0,1494.9,0.0
rampFlow.5,13.0,62.6,49.6,1146.27,0.0
mainFlow.8,12.6,63.0,50.4,1494.9,0.0
mainFlow.6,9.4,63.8,54.4,1494.9,0.0
mainFlow.9,14.2,64.4,50.2,1494.9,0.0
rampFlow.6,15.6,65.2,49.6,1146.27,0.0
mainFlow.10,15.8,65.6,49.8,1494.9,0.0
mainFlow.11,17.4,66.8,49.4,1494.9,0.0
rampFlow.7,18.0,66.8,48.8,1146.27,0.0
mainFlow.13,20.4,68.0,47.6,1494.9,0.0
rampFlow.8,20.6,69.0,48.4,1146.27,0.0
mainFlow.12,18.8,69.2,50.4,1494.9,0.0
mainFlow.14,22.0,72.8,50.8,1494.9,0.0
mainFlow.17,26.8,74.0,47.2,1494.9,0.0
rampFlow.9,23.2,74.6,51.4,1146.27,0.0
mainFlow.19,29.8,75.2,45.4,1494.9,0.0
rampFlow.10,25.8,75.8,50.0,1146.27,0.0
mainFlow.20,31.4,76.4,45.0,1494.9,0.0
rampFlow.11,28.4,77.0,48.6,1146.27,0.0
mainFlow.16,25.2,78.0,52.8,1494.9,0.0
mainFlow.15,23.6,78.4,54.8,1494.9,0.0
mainFlow.21,33.0,79.4,46.4,1494.9,0.0
rampFlow.12,31.0,79.8,48.8,1146.27,0.0
mainFlow.23,36.0,80.6,44.6,1494.9,0.0
mainFlow.18,28.2,81.0,52.8,1494.9,0.0
mainFlow.22,34.6,81.8,47.2,1494.9,0.0
rampFlow.13,33.6,82.2,48.6,1146.27,0.0
rampFlow.14,36.0,83.0,47.0,1146.27,0.0
rampFlow.15,38.6,84.2,45.6,1146.27,0.0
