id,depart,arrival,duration,routeLength,waitingTime
mainFlow.79,105.4,152.4,47.0,1494.9,0.0
rampFlow.30,108.0,153.6,45.6,1146.27,0.0
mainFlow.80,106.8,155.6,48.8,1494.9,0.0
mainFlow.83,110.8,157.0,46.2,1494.9,0.0
rampFlow.31,111.6,158.4,46.8,1146.27,0.0
mainFlow.85,113.4,158.4,45.0,1494.9,0.0
mainFlow.84,112.0,159.6,47.6,1494.9,0.0
mainFlow.82,109.4,160.8,51.4,1494.9,0.0
mainFlow.81,108.0,161.4,53.4,1494.9,0.0
rampFlow.32,115.2,161.8,46.6,1146.27,0.0
mainFlow.87,116.0,164.0,48.0,1494.9,0.0
rampFlow.33,118.8,164.4,45.6,1146.27,0.0
mainFlow.89,118.8,165.2,46.4,1494.9,0.0
mainFlow.86,114.8,165.6,50.8,1494.9,0.0
mainFlow.91,121.4,166.4,45.0,1494.9,0.0
rampFlow.34,122.4,167.6,45.2,1146.27,0.0
mainFlow.93,124.0,167.6,43.6,1494.9,0.0
mainFlow.88,117.4,168.6,51.2,1494.9,0.0
mainFlow.90,120.0,169.6,49.6,1494.9,0.0
mainFlow.95,126.8,170.0,43.2,1494.9,0.0
rampFlow.35,126.0,171.0,45.0,1146.27,0.0
mainFlow.94,125.4,171.6,46.2,1494.9,0.0
rampFlow.36,129.6,172.8,43.2,1146.27,0.0
mainFlow.97,129.4,173.0,43.6,1494.9,0.0
mainFlow.99,132.0,174.2,42.2,1494.9,0.0
mainFlow.98,130.8,175.8,45.0,1494.9,0.0
mainFlow.100,133.4,178.6,45.2,1494.9,0.0
mainFlow.92,122.8,179.2,56.4,1494.9,0.0
mainFlow.96,128.0,179.8,51.8,1494.9,0.0
rampFlow.37,133.2,180.6,47.4,1146.27,0.0
rampFlow.38,136.8,182.0,45.2,1146.27,0.0
mainFlow.101,134.8,182.2,47.4,1494.9,0.0
mainFlow.102,136.0,183.4,47.4,1494.9,0.0
rampFlow.39,140.4,184.6,44.2,1146.27,0.0
mainFlow.103,137.4,185.6,48.2,1494.9,0.0
mainFlow.104,138.8,186.8,48.0,1494.9,0.0
rampFlow.40,144.0,188.0,44.0,1146.27,0.0
mainFlow.107,142.8,189.4,46.6,1494.9,0.0
mainFlow.109,145.4,192.2,46.8,1494.9,0.0
rampFlow.41,147.6,192.6,45.0,1146.27,0.0
mainFlow.108,144.0,193.6,49.6,1494.9,0.0
mainFlow.111,148.0,196.6,48.6,1494.9,0.0
mainFlow.113,150.8,198.0,47.2,1494.9,0.0
mainFlow.114,152.0,199.0,47.0,1494.9,0.0
mainFlow.112,149.4,200.2,50.8,1494.9,0.0
mainFlow.105,140.0,202.2,62.2,1494.9,0.0
mainFlow.115,153.4,203.0,49.6,1494.9,0.0
rampFlow.42,151.2,203.4,52.2,1146.27,0.0
mainFlow.117,156.0,204.2,48.2,1494.9,0.0
mainFlow.106,141.4,204.6,63.2,1494.9,0.0
mainFlow.119,158.8,205.4,46.6,1494.9,0.0
mainFlow.110,146.8,205.8,59.0,1494.9,0.0
mainFlow.116,154.8,206.6,51.8,1494.9,0.0
rampFlow.43,154.8,207.0,52.2,1146.27,0.0
