begin,end,edge,speed,density,entered,left
0.0,900.0,main_0,29.64,20.02,0,534
0.0,900.0,main_1a,25.46,33.18,751,751
0.0,900.0,main_1b,29.57,28.37,751,0
0.0,900.0,ramp_0,14.73,16.36,0,217
