begin,end,edge,speed,density,entered,left
0.0,900.0,main_0,30.92,20.98,0,584
0.0,900.0,main_1a,28.9,24.68,634,634
0.0,900.0,main_1b,30.02,23.59,634,0
0.0,900.0,ramp_0,17.48,3.18,0,50
