id,depart,arrival,duration,routeLength,waitingTime
mainFlow.0,0.0,42.6,42.6,1494.9,0.0
rampFlow.0,0.0,45.4,45.4,1146.27,0.0
mainFlow.1,1.4,46.0,44.6,1494.9,0.0
rampFlow.1,2.8,47.0,44.2,1146.27,0.0
mainFlow.2,2.8,47.2,44.4,1494.9,0.0
rampFlow.2,5.6,54.4,48.8,1146.27,0.0
mainFlow.5,7.0,55.2,48.2,1494.9,0.0
rampFlow.3,8.4,56.0,47.6,1146.27,0.0
mainFlow.7,9.8,56.4,46.6,1494.9,0.0
mainFlow.8,11.2,57.6,46.4,1494.9,0.0
mainFlow.9,12.6,59.0,46.4,1494.9,0.0
mainFlow.3,4.2,59.4,55.2,1494.9,0.0
rampFlow.4,11.2,59.8,48.6,1146.27,0.0
mainFlow.4,5.6,61.0,55.4,1494.9,0.0
mainFlow.6,8.4,62.2,53.8,1494.9,0.0
rampFlow.5,14.0,63.4,49.4,1146.27,0.0
mainFlow.11,15.4,63.6,48.2,1494.9,0.0
rampFlow.6,16.8,64.8,48.0,1146.27,0.0
mainFlow.13,18.2,64.8,46.6,1494.9,0.0
mainFlow.10,14.0,66.0,52.0,1494.9,0.0
mainFlow.14,19.4,66.0,46.6,1494.9,0.0
rampFlow.7,19.4,67.2,47.8,1146.27,0.0
mainFlow.12,16.8,67.6,50.8,1494.9,0.0
mainFlow.15,20.8,71.6,50.8,1494.9,0.0
rampFlow.8,22.2,71.8,49.6,1146.27,0.0
mainFlow.17,23.6,72.8,49.2,1494.9,0.0
rampFlow.9,25.0,73.2,48.2,1146.27,0.0
rampFlow.10,27.8,74.6,46.8,1146.27,0.0
mainFlow.19,26.4,74.8,48.4,1494.9,0.0
mainFlow.21,29.2,76.0,46.8,1494.9,0.0
mainFlow.22,30.6,77.2,46.6,1494.9,0.0
mainFlow.16,22.2,78.4,56.2,1494.9,0.0
mainFlow.23,32.0,78.4,46.4,1494.9,0.0
mainFlow.25,34.8,79.6,44.8,1494.9,0.0
rampFlow.11,30.6,79.8,49.2,1146.27,0.0
mainFlow.18,25.0,81.0,56.0,1494.9,0.0
mainFlow.24,33.4,81.0,47.6,1494.9,0.0
rampFlow.12,33.4,82.2,48.8,1146.27,0.0
mainFlow.26,36.2,82.2,46.0,1494.9,0.0
mainFlow.20,27.8,83.2,55.4,1494.9,0.0
