id,depart,arrival,duration,routeLength,waitingTime
mainFlow.0,0.0,42.6,42.6,1494.9,0.0
rampFlow.0,0.0,45.4,45.4,1146.27,0.0
mainFlow.1,1.2,45.8,44.6,1494.9,0.0
rampFlow.1,2.0,46.8,44.8,1146.27,0.0
mainFlow.2,2.2,47.0,44.8,1494.9,0.0
rampFlow.2,4.0,48.6,44.6,1146.27,0.0
rampFlow.3,6.0,56.6,50.6,1146.27,0.0
mainFlow.3,3.2,57.6,54.4,1494.9,0.0
mainFlow.5,5.4,58.6,53.2,1494.9,0.0
mainFlow.7,7.6,59.8,52.2,1494.9,0.0
rampFlow.4,8.0,59.8,51.8,1146.27,0.0
mainFlow.9,9.6,61.0,51.4,1494.9,0.0
mainFlow.4,4.4,61.2,56.8,1494.9,0.0
mainFlow.11,11.8,62.2,50.4,1494.9,0.0
rampFlow.5,10.0,62.4,52.4,1146.27,0.0
mainFlow.13,13.8,63.4,49.6,1494.9,0.0
mainFlow.6,6.4,63.8,57.4,1494.9,0.0
mainFlow.14,15.0,64.6,49.6,1494.9,0.0
mainFlow.8,8.6,65.0,56.4,1494.9,0.0
rampFlow.6,12.0,66.2,54.2,1146.27,0.0
mainFlow.15,16.0,66.8,50.8,1494.9,0.0
rampFlow.7,14.0,67.8,53.8,1146.27,0.0
mainFlow.17,18.2,68.0,49.8,1494.9,0.0
mainFlow.10,10.6,69.0,58.4,1494.9,0.0
mainFlow.19,20.2,69.2,49.0,1494.9,0.0
mainFlow.12,12.8,70.2,57.4,1494.9,0.0
mainFlow.21,22.4,70.4,48.0,1494.9,0.0
mainFlow.23,24.4,71.6,47.2,1494.9,0.0
rampFlow.8,16.0,71.8,55.8,1146.27,0.0
mainFlow.24,25.6,72.8,47.2,1494.9,0.0
rampFlow.9,18.0,73.2,55.2,1146.27,0.0
mainFlow.18,19.2,74.0,54.8,1494.9,0.0
mainFlow.16,17.0,74.4,57.4,1494.9,0.0
rampFlow.10,20.0,75.6,55.6,1146.27,0.0
mainFlow.25,26.6,76.8,50.2,1494.9,0.0
rampFlow.11,22.0,77.2,55.2,1146.27,0.0
mainFlow.27,28.6,78.0,49.4,1494.9,0.0
mainFlow.20,21.2,78.4,57.2,1494.9,0.0
mainFlow.29,30.8,79.2,48.4,1494.9,0.0
rampFlow.12,24.0,79.6,55.6,1146.27,0.0
