id,depart,arrival,duration,routeLength,waitingTime
mainFlow.0,0.0,42.6,42.6,1494.9,0.0
rampFlow.0,0.0,45.4,45.4,1146.27,0.0
mainFlow.1,1.2,45.8,44.6,1494.9,0.0
mainFlow.2,2.4,47.0,44.6,1494.9,0.0
rampFlow.1,3.4,47.2,43.8,1146.27,0.0
rampFlow.2,6.6,53.2,46.6,1146.27,0.0
mainFlow.5,6.0,57.0,51.0,1494.9,0.0
mainFlow.7,8.2,58.2,50.0,1494.9,0.0
mainFlow.3,3.6,59.0,55.4,1494.9,0.0
mainFlow.9,10.6,59.4,48.8,1494.9,0.0
rampFlow.3,10.0,60.2,50.2,1146.27,0.0
mainFlow.8,9.4,60.6,51.2,1494.9,0.0
mainFlow.4,4.8,61.4,56.6,1494.9,0.0
mainFlow.11,12.8,62.0,49.2,1494.9,0.0
mainFlow.6,7.0,62.8,55.8,1494.9,0.0
mainFlow.13,15.2,63.4,48.2,1494.9,0.0
rampFlow.4,13.2,64.0,50.8,1146.27,0.0
mainFlow.15,17.6,64.6,47.0,1494.9,0.0
mainFlow.10,11.8,65.2,53.4,1494.9,0.0
mainFlow.16,18.6,66.0,47.4,1494.9,0.0
rampFlow.5,16.4,66.6,50.2,1146.27,0.0
mainFlow.12,14.0,67.0,53.0,1494.9,0.0
mainFlow.17,19.8,70.6,50.8,1494.9,0.0
rampFlow.6,19.8,70.8,51.0,1146.27,0.0
mainFlow.19,22.2,71.8,49.6,1494.9,0.0
mainFlow.14,16.4,72.2,55.8,1494.9,0.0
mainFlow.21,24.4,73.2,48.8,1494.9,0.0
rampFlow.7,23.0,73.4,50.4,1146.27,0.0
mainFlow.23,26.8,74.4,47.6,1494.9,0.0
rampFlow.8,26.2,74.8,48.6,1146.27,0.0
mainFlow.25,29.2,75.6,46.4,1494.9,0.0
mainFlow.18,21.0,76.0,55.0,1494.9,0.0
mainFlow.27,31.4,76.8,45.4,1494.9,0.0
rampFlow.9,29.6,77.2,47.6,1146.27,0.0
mainFlow.29,33.8,78.2,44.4,1494.9,0.0
mainFlow.20,23.4,78.4,55.0,1494.9,0.0
mainFlow.31,36.0,79.4,43.4,1494.9,0.0
mainFlow.22,25.6,79.8,54.2,1494.9,0.0
mainFlow.33,38.4,80.6,42.2,1494.9,0.0
rampFlow.10,32.8,81.0,48.2,1146.27,0.0
