begin,end,edge,speed,density,entered,left
0.0,900.0,main_0,32.77,5.08,0,150
0.0,900.0,main_1a,25.42,17.7,400,400
0.0,900.0,main_1b,31.66,14.11,400,0
0.0,900.0,ramp_0,13.17,21.07,0,250
