id,depart,arrival,duration,routeLength,waitingTime
mainFlow.0,0.0,42.6,42.6,1494.9,0.0
rampFlow.0,0.0,45.4,45.4,1146.27,0.0
mainFlow.1,1.4,46.0,44.6,1494.9,0.0
mainFlow.2,2.6,47.2,44.6,1494.9,0.0
mainFlow.3,3.8,47.6,43.8,1494.9,0.0
mainFlow.4,5.0,48.8,43.8,1494.9,0.0
rampFlow.1,4.0,54.4,50.4,1146.27,0.0
mainFlow.5,6.4,57.4,51.0,1494.9,0.0
rampFlow.2,8.0,57.8,49.8,1146.27,0.0
mainFlow.7,8.8,58.6,49.8,1494.9,0.0
rampFlow.3,12.0,59.4,47.4,1146.27,0.0
mainFlow.9,11.2,59.8,48.6,1494.9,0.0
mainFlow.6,7.6,60.8,53.2,1494.9,0.0
mainFlow.10,12.6,61.0,48.4,1494.9,0.0
mainFlow.8,10.0,62.0,52.0,1494.9,0.0
mainFlow.11,13.8,62.6,48.8,1494.9,0.0
rampFlow.4,16.0,63.4,47.4,1146.27,0.0
mainFlow.13,16.2,64.4,48.2,1494.9,0.0
mainFlow.15,18.8,65.6,46.8,1494.9,0.0
rampFlow.5,20.0,66.0,46.0,1146.27,0.0
mainFlow.16,20.0,66.8,46.8,1494.9,0.0
mainFlow.14,17.4,68.0,50.6,1494.9,0.0
mainFlow.12,15.0,68.6,53.6,1494.9,0.0
rampFlow.6,24.0,70.8,46.8,1146.27,0.0
mainFlow.17,21.2,72.0,50.8,1494.9,0.0
rampFlow.7,28.0,72.0,44.0,1146.27,0.0
mainFlow.19,23.6,75.4,51.8,1494.9,0.0
mainFlow.21,26.2,76.6,50.4,1494.9,0.0
mainFlow.23,28.6,77.8,49.2,1494.9,0.0
mainFlow.18,22.4,78.0,55.6,1494.9,0.0
mainFlow.25,31.2,79.0,47.8,1494.9,0.0
mainFlow.20,25.0,79.4,54.4,1494.9,0.0
mainFlow.24,29.8,80.0,50.2,1494.9,0.0
rampFlow.8,32.0,80.6,48.6,1146.27,0.0
mainFlow.27,33.6,81.4,47.8,1494.9,0.0
mainFlow.22,27.4,81.8,54.4,1494.9,0.0
mainFlow.29,36.0,82.6,46.6,1494.9,0.0
rampFlow.9,36.0,83.4,47.4,1146.27,0.0
mainFlow.30,37.4,83.8,46.4,1494.9,0.0
mainFlow.26,32.4,84.6,52.2,1494.9,0.0
