id,depart,arrival,duration,routeLength,waitingTime
mainFlow.0,0.0,42.6,42.6,1494.9,0.0
rampFlow.0,0.0,45.4,45.4,1146.27,0.0
mainFlow.1,4.6,49.2,44.6,1494.9,0.0
mainFlow.2,9.0,50.8,41.8,1494.9,0.0
rampFlow.1,12.0,55.2,43.2,1146.27,0.0
mainFlow.4,18.0,61.2,43.2,1494.9,0.0
mainFlow.3,13.6,68.0,54.4,1494.9,0.0
rampFlow.2,24.0,70.0,46.0,1146.27,0.0
mainFlow.7,31.6,73.2,41.6,1494.9,0.0
mainFlow.5,22.6,73.6,51.0,1494.9,0.0
mainFlow.6,27.0,79.6,52.6,1494.9,0.0
mainFlow.8,36.0,80.0,44.0,1494.9,0.0
rampFlow.3,36.0,81.0,45.0,1146.27,0.0
mainFlow.9,40.6,81.4,40.8,1494.9,0.0
mainFlow.10,45.0,90.6,45.6,1494.9,0.0
rampFlow.4,48.0,94.4,46.4,1146.27,0.0
rampFlow.5,60.0,100.2,40.2,1146.27,0.0
mainFlow.11,49.6,101.0,51.4,1494.9,0.0
mainFlow.12,54.0,102.2,48.2,1494.9,0.0
mainFlow.13,58.6,106.8,48.2,1494.9,0.0
mainFlow.14,63.0,108.2,45.2,1494.9,0.0
mainFlow.15,67.6,112.2,44.6,1494.9,0.0
mainFlow.16,72.0,118.2,46.2,1494.9,0.0
rampFlow.6,72.0,119.8,47.8,1146.27,0.0
mainFlow.17,76.6,131.2,54.6,1494.9,0.0
rampFlow.7,84.0,132.6,48.6,1146.27,0.0
mainFlow.18,81.0,132.8,51.8,1494.9,0.0
mainFlow.19,85.6,134.0,48.4,1494.9,0.0
mainFlow.20,90.0,135.2,45.2,1494.9,0.0
rampFlow.8,96.0,136.8,40.8,1146.27,0.0
mainFlow.22,99.0,138.6,39.6,1494.9,0.0
mainFlow.21,94.6,143.0,48.4,1494.9,0.0
mainFlow.24,108.0,147.6,39.6,1494.9,0.0
mainFlow.23,103.6,148.4,44.8,1494.9,0.0
rampFlow.9,108.0,152.2,44.2,1146.27,0.0
mainFlow.25,112.6,156.8,44.2,1494.9,0.0
rampFlow.10,120.0,159.6,39.6,1146.27,0.0
mainFlow.27,121.6,163.2,41.6,1494.9,0.0
mainFlow.26,117.0,163.4,46.4,1494.9,0.0
mainFlow.29,130.6,174.4,43.8,1494.9,0.0
