id,depart,arrival,duration,routeLength,waitingTime
mainFlow.0,0.0,42.6,42.6,1494.9,0.0
rampFlow.0,0.0,45.4,45.4,1146.27,0.0
mainFlow.1,1.4,46.0,44.6,1494.9,0.0
mainFlow.2,2.6,47.2,44.6,1494.9,0.0
mainFlow.3,4.0,47.8,43.8,1494.9,0.0
mainFlow.5,6.6,49.8,43.2,1494.9,0.0
rampFlow.1,9.0,54.8,45.8,1146.27,0.0
mainFlow.9,11.6,59.4,47.8,1494.9,0.0
mainFlow.4,5.2,59.6,54.4,1494.9,0.0
mainFlow.11,14.2,60.6,46.4,1494.9,0.0
mainFlow.6,7.8,60.8,53.0,1494.9,0.0
mainFlow.10,13.0,61.8,48.8,1494.9,0.0
mainFlow.7,9.2,62.2,53.0,1494.9,0.0
mainFlow.12,15.6,63.2,47.6,1494.9,0.0
mainFlow.8,10.4,63.4,53.0,1494.9,0.0
mainFlow.13,16.8,65.6,48.8,1494.9,0.0
rampFlow.2,18.0,66.6,48.6,1146.27,0.0
mainFlow.15,19.4,67.6,48.2,1494.9,0.0
mainFlow.14,18.2,68.0,49.8,1494.9,0.0
mainFlow.17,22.0,68.8,46.8,1494.9,0.0
mainFlow.16,20.6,69.6,49.0,1494.9,0.0
mainFlow.18,23.2,70.8,47.6,1494.9,0.0
mainFlow.19,24.6,70.8,46.2,1494.9,0.0
mainFlow.20,25.8,76.6,50.8,1494.9,0.0
rampFlow.3,27.0,77.6,50.6,1146.27,0.0
mainFlow.21,27.2,79.0,51.8,1494.9,0.0
mainFlow.22,28.4,80.0,51.6,1494.9,0.0
mainFlow.23,29.6,80.2,50.6,1494.9,0.0
mainFlow.24,31.0,81.4,50.4,1494.9,0.0
mainFlow.25,32.2,82.6,50.4,1494.9,0.0
rampFlow.4,36.0,82.8,46.8,1146.27,0.0
mainFlow.27,34.8,83.8,49.0,1494.9,0.0
mainFlow.26,33.6,84.2,50.6,1494.9,0.0
mainFlow.29,37.4,85.0,47.6,1494.9,0.0
mainFlow.28,36.2,86.2,50.0,1494.9,0.0
mainFlow.30,38.6,86.2,47.6,1494.9,0.0
mainFlow.31,40.0,87.4,47.4,1494.9,0.0
mainFlow.33,42.6,88.6,46.0,1494.9,0.0
mainFlow.32,41.2,89.8,48.6,1494.9,0.0
rampFlow.5,45.0,89.8,44.8,1146.27,0.0
