id,depart,arrival,duration,routeLength,waitingTime
mainFlow.0,0.0,42.6,42.6,1494.9,0.0
rampFlow.0,0.0,45.4,45.4,1146.27,0.0
rampFlow.1,2.4,46.8,44.4,1146.27,0.0
mainFlow.1,2.4,47.0,44.6,1494.9,0.0
mainFlow.2,4.6,48.4,43.8,1494.9,0.0
mainFlow.3,6.8,50.0,43.2,1494.9,0.0
mainFlow.5,11.4,52.8,41.4,1494.9,0.0
rampFlow.2,4.6,55.8,51.2,1146.27,0.0
rampFlow.3,6.8,57.2,50.4,1146.27,0.0
mainFlow.4,9.0,57.6,48.6,1494.9,0.0
mainFlow.6,13.6,59.0,45.4,1494.9,0.0
rampFlow.4,9.0,60.0,51.0,1146.27,0.0
rampFlow.5,11.4,61.4,50.0,1146.27,0.0
mainFlow.7,15.8,61.4,45.6,1494.9,0.0
rampFlow.6,13.6,62.2,48.6,1146.27,0.0
rampFlow.7,15.8,64.8,49.0,1146.27,0.0
rampFlow.8,18.0,66.8,48.8,1146.27,0.0
rampFlow.9,20.4,68.0,47.6,1146.27,0.0
mainFlow.9,20.4,68.6,48.2,1494.9,0.0
mainFlow.10,22.6,69.8,47.2,1494.9,0.0
mainFlow.8,18.0,71.2,53.2,1494.9,0.0
mainFlow.11,24.8,71.2,46.4,1494.9,0.0
rampFlow.10,22.6,72.2,49.6,1146.27,0.0
rampFlow.11,24.8,75.2,50.4,1146.27,0.0
rampFlow.12,27.0,78.2,51.2,1146.27,0.0
mainFlow.13,29.4,78.6,49.2,1494.9,0.0
rampFlow.13,29.4,79.4,50.0,1146.27,0.0
mainFlow.14,31.6,79.8,48.2,1494.9,0.0
mainFlow.15,33.8,81.0,47.2,1494.9,0.0
mainFlow.16,36.0,82.2,46.2,1494.9,0.0
mainFlow.12,27.0,83.4,56.4,1494.9,0.0
mainFlow.17,38.4,83.8,45.4,1494.9,0.0
rampFlow.14,31.6,84.6,53.0,1146.27,0.0
rampFlow.16,36.0,85.0,49.0,1146.27,0.0
rampFlow.15,33.8,85.8,52.0,1146.27,0.0
mainFlow.18,40.6,87.0,46.4,1494.9,0.0
rampFlow.17,38.4,87.4,49.0,1146.27,0.0
mainFlow.19,42.8,88.2,45.4,1494.9,0.0
rampFlow.18,40.6,88.6,48.0,1146.27,0.0
mainFlow.20,45.0,89.4,44.4,1494.9,0.0
