id,depart,arrival,duration,routeLength,waitingTime
mainFlow.0,0.0,42.6,42.6,1494.9,0.0
rampFlow.0,0.0,45.4,45.4,1146.27,0.0
rampFlow.1,2.8,46.8,44.0,1146.27,0.0
mainFlow.1,2.4,47.0,44.6,1494.9,0.0
mainFlow.2,4.6,48.4,43.8,1494.9,0.0
mainFlow.3,6.8,50.0,43.2,1494.9,0.0
mainFlow.5,11.4,52.8,41.4,1494.9,0.0
rampFlow.2,5.6,56.4,50.8,1146.27,0.0
rampFlow.3,8.4,57.6,49.2,1146.27,0.0
mainFlow.4,9.0,57.6,48.6,1494.9,0.0
mainFlow.7,15.8,58.8,43.0,1494.9,0.0
mainFlow.6,13.6,60.2,46.6,1494.9,0.0
rampFlow.5,14.0,61.2,47.2,1146.27,0.0
rampFlow.4,11.2,61.6,50.4,1146.27,0.0
rampFlow.6,16.8,63.2,46.4,1146.27,0.0
mainFlow.8,18.0,66.6,48.6,1494.9,0.0
mainFlow.9,20.4,68.4,48.0,1494.9,0.0
rampFlow.7,19.4,69.0,49.6,1146.27,0.0
mainFlow.10,22.6,69.6,47.0,1494.9,0.0
rampFlow.8,22.2,70.4,48.2,1146.27,0.0
mainFlow.11,24.8,70.8,46.0,1494.9,0.0
rampFlow.9,25.0,71.8,46.8,1146.27,0.0
mainFlow.12,27.0,73.2,46.2,1494.9,0.0
rampFlow.10,27.8,76.4,48.6,1146.27,0.0
rampFlow.11,30.6,80.2,49.6,1146.27,0.0
mainFlow.14,31.6,80.8,49.2,1494.9,0.0
rampFlow.12,33.4,81.6,48.2,1146.27,0.0
mainFlow.15,33.8,82.0,48.2,1494.9,0.0
mainFlow.17,38.4,83.2,44.8,1494.9,0.0
mainFlow.18,40.6,84.4,43.8,1494.9,0.0
mainFlow.13,29.4,85.6,56.2,1494.9,0.0
mainFlow.16,36.0,86.8,50.8,1494.9,0.0
rampFlow.13,36.0,86.8,50.8,1146.27,0.0
rampFlow.14,38.8,88.0,49.2,1146.27,0.0
mainFlow.19,42.8,88.0,45.2,1494.9,0.0
rampFlow.15,41.6,89.2,47.6,1146.27,0.0
mainFlow.20,45.0,89.2,44.2,1494.9,0.0
rampFlow.17,47.2,90.6,43.4,1146.27,0.0
rampFlow.16,44.4,90.8,46.4,1146.27,0.0
mainFlow.21,47.4,97.6,50.2,1494.9,0.0
