begin,end,edge,speed,density,entered,left
0.0,900.0,main_0,30.19,17.18,0,467
0.0,900.0,main_1a,25.1,32.9,734,734
0.0,900.0,main_1b,29.68,27.62,734,0
0.0,900.0,ramp_0,12.02,24.67,0,267
