id,depart,arrival,duration,routeLength,waitingTime
mainFlow.0,0.0,42.6,42.6,1494.9,0.0
rampFlow.0,0.0,45.4,45.4,1146.27,0.0
mainFlow.1,2.8,47.4,44.6,1494.9,0.0
rampFlow.1,4.0,47.6,43.6,1146.27,0.0
mainFlow.2,5.6,49.4,43.8,1494.9,0.0
mainFlow.3,8.4,51.6,43.2,1494.9,0.0
rampFlow.3,12.0,58.6,46.6,1146.27,0.0
rampFlow.2,8.0,58.8,50.8,1146.27,0.0
mainFlow.4,11.2,62.2,51.0,1494.9,0.0
rampFlow.4,16.0,63.4,47.4,1146.27,0.0
mainFlow.6,16.8,63.4,46.6,1494.9,0.0
mainFlow.7,19.4,64.6,45.2,1494.9,0.0
rampFlow.5,20.0,65.2,45.2,1146.27,0.0
mainFlow.8,22.2,67.8,45.6,1494.9,0.0
mainFlow.5,14.0,68.8,54.8,1494.9,0.0
rampFlow.6,24.0,70.4,46.4,1146.27,0.0
mainFlow.11,30.6,70.4,39.8,1494.9,0.0
rampFlow.7,28.0,74.2,46.2,1146.27,0.0
mainFlow.10,27.8,76.4,48.6,1494.9,0.0
mainFlow.9,25.0,77.4,52.4,1494.9,0.0
rampFlow.8,32.0,77.6,45.6,1146.27,0.0
mainFlow.12,33.4,78.8,45.4,1494.9,0.0
mainFlow.13,36.0,82.2,46.2,1494.9,0.0
rampFlow.9,36.0,83.8,47.8,1146.27,0.0
rampFlow.10,40.0,88.6,48.6,1146.27,0.0
mainFlow.15,41.6,90.8,49.2,1494.9,0.0
rampFlow.11,44.0,90.8,46.8,1146.27,0.0
mainFlow.16,44.4,92.0,47.6,1494.9,0.0
mainFlow.18,50.0,93.2,43.2,1494.9,0.0
mainFlow.14,38.8,94.8,56.0,1494.9,0.0
mainFlow.17,47.2,95.6,48.4,1494.9,0.0
rampFlow.12,48.0,96.2,48.2,1146.27,0.0
mainFlow.19,52.8,97.0,44.2,1494.9,0.0
rampFlow.13,52.0,97.6,45.6,1146.27,0.0
rampFlow.14,56.0,99.6,43.6,1146.27,0.0
mainFlow.20,55.4,100.8,45.4,1494.9,0.0
rampFlow.15,60.0,102.0,42.0,1146.27,0.0
mainFlow.22,61.0,102.2,41.2,1494.9,0.0
mainFlow.21,58.2,105.6,47.4,1494.9,0.0
rampFlow.16,64.0,107.2,43.2,1146.27,0.0
